13,53,11,21,31,33,15,25,35,P(W)
30,30,29.7,27.5,29.5,29,29.2,28.8,28.8,108.1
29.8,30,29.2,26.4,29.1,28.8,28.6,28.1,28.2,109.6
29.6,30,28.8,25.4,28.7,28.6,28.1,27.5,27.7,112.1
29.3,30,28.3,24.3,28.3,28.3,27.5,26.7,27,114.1
29,30,27.7,23.3,27.7,28,26.9,26,26.3,116.4
28.6,29.9,27,22.4,27.2,27.6,26.3,25.2,25.5,119
28.2,29.9,26.3,21.4,26.6,27.2,25.7,24.4,24.9,123.6
27.8,29.9,25.7,20.5,26,26.7,25,23.7,24.1,122.2
27.4,29.9,25,19.6,25.3,26.2,24.4,22.8,23.3,124.3
27,29.9,24.3,18.7,24.6,25.8,23.8,22.2,22.6,125.6
26.5,29.9,23.5,17.7,23.9,25.2,23.1,21.4,22,126.9
26,29.8,22.8,16.8,23.3,24.7,22.4,20.6,21.4,128.5
25.5,29.8,22.1,15.9,22.5,24.1,21.8,20,20.7,129.6
25,29.8,21.3,15.1,21.8,23.5,21.2,19.2,19.7,130.8
24.5,29.8,20.6,14.2,21.1,23,20.5,18.5,19.2,132.1
24,29.7,20,13.4,20.4,22.4,19.8,17.8,18.5,132.3
23.5,29.7,19.2,12.6,19.7,21.8,19.2,17.1,17.7,133.1
22.9,29.7,18.5,11.8,18.9,21.2,18.5,16.3,17,136.2
22.4,29.6,17.8,11.1,18.2,20.6,17.9,15.7,16.2,135.9
21.8,29.6,17.1,10.4,17.5,20,17.3,15,15.6,137.9
21.2,29.6,16.4,9.7,16.8,19.4,16.6,14.2,14.9,137.6
20.6,29.5,15.8,9,16.1,18.9,16,13.5,14.2,138
20.1,29.5,15.1,8.4,15.5,18.3,15.4,12.9,13.7,139.3
19.5,29.5,14.5,7.7,14.8,17.6,14.8,12.2,13,139.2
18.9,29.4,13.8,7,14.1,17,14.2,11.5,12.4,137
18.3,29.4,13.2,6.3,13.4,16.4,13.6,10.8,11.8,138.1
17.7,29.3,12.5,5.6,12.7,15.7,13,10.1,11,138.9
17.1,29.3,11.8,4.9,12.1,15.2,12.4,9.5,10.3,138.9
16.5,29.2,11.3,4.3,11.5,14.6,11.9,8.9,9.8,143
15.9,29.2,10.7,3.8,10.8,14.1,11.2,8.3,9.1,139.2
15.3,29.1,10.1,3.1,10.1,13.4,10.7,7.7,8.5,140.6
14.7,29.1,9.5,2.5,9.4,12.8,10.1,6.9,7.9,143.1
14.1,29,8.8,1.8,8.8,12.3,9.5,6.4,7.1,141.1
13.5,29,8.2,1.3,8.1,11.7,9,5.8,6.8,142.4
12.9,28.9,7.7,0.7,7.5,11.2,8.5,5.3,6.2,142.3
12.3,28.8,7.1,0.1,7,10.6,7.9,4.6,5.6,141.4
11.7,28.8,6.6,-0.5,6.3,10,7.3,4,5,141.3
11.1,28.7,6,-1,5.8,9.5,6.7,3.4,4.4,140.4
10.5,28.6,5.4,-1.6,5.1,8.9,6.2,2.8,3.8,140.5
9.9,28.6,4.9,-2.1,4.6,8.3,5.6,2.2,3.3,140.3
9.3,28.5,4.3,-2.7,4,7.7,5,1.7,2.8,140.3
8.8,28.4,3.8,-3.2,3.5,7.2,4.6,1.2,2.2,139.2
8.2,28.3,3.3,-3.7,2.9,6.6,4.1,0.7,1.7,142.5
7.6,28.3,2.7,-4.3,2.2,6.1,3.6,0.1,1.1,143.9
7,28.2,2.2,-4.8,1.8,5.6,3,-0.4,0.6,139
6.4,28.1,1.6,-5.3,1.2,5.1,2.6,-1,0,138.8
5.9,28,1.2,-5.8,0.7,4.6,2.1,-1.6,-0.4,138.4
